	Agric	Mining	Manufacturing	Electricity and utilities	Construction	Transport	Services
Cultivation of paddy rice	1	0	0	0	0	0	0
Cultivation of wheat	1	0	0	0	0	0	0
Cultivation of cereal grains nec	1	0	0	0	0	0	0
"Cultivation of vegetables, fruit, nuts"	1	0	0	0	0	0	0
Cultivation of oil seeds	1	0	0	0	0	0	0
"Cultivation of sugar cane, sugar beet"	1	0	0	0	0	0	0
Cultivation of plant-based fibers	1	0	0	0	0	0	0
Cultivation of crops nec	1	0	0	0	0	0	0
Cattle farming	1	0	0	0	0	0	0
Pigs farming	1	0	0	0	0	0	0
Poultry farming	1	0	0	0	0	0	0
Meat animals nec	1	0	0	0	0	0	0
Animal products nec	1	0	0	0	0	0	0
Raw milk	1	0	0	0	0	0	0
"Wool, silk-worm cocoons"	1	0	0	0	0	0	0
Manure treatment (conventional) and land application	1	0	0	0	0	0	0
Manure treatment (biogas) and land application	1	0	0	0	0	0	0
"Forestry, logging and related service activities (02)"	1	0	0	0	0	0	0
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"	1	0	0	0	0	0	0
Mining of coal and lignite; extraction of peat (10)	0	1	0	0	0	0	0
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"	0	1	0	0	0	0	0
"Extraction of natural gas and services related to natural gas extraction, excluding surveying"	0	1	0	0	0	0	0
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials"	0	1	0	0	0	0	0
Mining of uranium and thorium ores (12)	0	1	0	0	0	0	0
Mining of iron ores	0	1	0	0	0	0	0
Mining of copper ores and concentrates	0	1	0	0	0	0	0
Mining of nickel ores and concentrates	0	1	0	0	0	0	0
Mining of aluminium ores and concentrates	0	1	0	0	0	0	0
Mining of precious metal ores and concentrates	0	1	0	0	0	0	0
"Mining of lead, zinc and tin ores and concentrates"	0	1	0	0	0	0	0
Mining of other non-ferrous metal ores and concentrates	0	1	0	0	0	0	0
Quarrying of stone	0	1	0	0	0	0	0
Quarrying of sand and clay	0	1	0	0	0	0	0
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."	0	1	0	0	0	0	0
Processing of meat cattle	0	0	1	0	0	0	0
Processing of meat pigs	0	0	1	0	0	0	0
Processing of meat poultry	0	0	1	0	0	0	0
Production of meat products nec	0	0	1	0	0	0	0
Processing vegetable oils and fats	0	0	1	0	0	0	0
Processing of dairy products	0	0	1	0	0	0	0
Processed rice	0	0	1	0	0	0	0
Sugar refining	0	0	1	0	0	0	0
Processing of Food products nec	0	0	1	0	0	0	0
Manufacture of beverages	0	0	1	0	0	0	0
Manufacture of fish products	0	0	1	0	0	0	0
Manufacture of tobacco products (16)	0	0	1	0	0	0	0
Manufacture of textiles (17)	0	0	1	0	0	0	0
Manufacture of wearing apparel; dressing and dyeing of fur (18)	0	0	1	0	0	0	0
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"	0	0	1	0	0	0	0
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"	0	0	1	0	0	0	0
Woodwaste	0	0	1	0	0	0	0
Pulp	0	0	1	0	0	0	0
Recycling of waste paper	0	0	1	0	0	0	0
Paper	0	0	1	0	0	0	0
"Publishing, printing and reproduction of recorded media (22)"	0	0	1	0	0	0	0
Manufacture of coke oven products	0	0	1	0	0	0	0
Petroleum Refinery	0	0	1	0	0	0	0
Processing of nuclear fuel	0	0	1	0	0	0	0
"Plastics, basic"	0	0	1	0	0	0	0
Recycling of plastics waste	0	0	1	0	0	0	0
N-fertiliser	0	0	1	0	0	0	0
P- and other fertiliser	0	0	1	0	0	0	0
Chemicals nec	0	0	1	0	0	0	0
Manufacture of rubber and plastic products (25)	0	0	1	0	0	0	0
Manufacture of glass and glass products	0	0	1	0	0	0	0
Recycling of glass waste	0	0	1	0	0	0	0
Manufacture of ceramic goods	0	0	1	0	0	0	0
"Manufacture of bricks, tiles and construction products, in baked clay"	0	0	1	0	0	0	0
"Manufacture of cement, lime and plaster"	0	0	1	0	0	0	0
Recycling of ash	0	0	1	0	0	0	0
Manufacture of other non-metallic mineral products n.e.c.	0	0	1	0	0	0	0
Manufacture of basic iron and steel and of ferro-alloys and first products thereof	0	0	1	0	0	0	0
Recycling of steel scrap	0	0	1	0	0	0	0
Precious metals production	0	0	1	0	0	0	0
Recycling of pecious metals waste	0	0	1	0	0	0	0
Aluminium production	0	0	1	0	0	0	0
Recycling of aluminium waste	0	0	1	0	0	0	0
"Lead, zinc and tin production"	0	0	1	0	0	0	0
"Recycling of lead, zinc and tin waste"	0	0	1	0	0	0	0
Copper production	0	0	1	0	0	0	0
Recycling of copper waste	0	0	1	0	0	0	0
Other non-ferrous metal production	0	0	1	0	0	0	0
Recycling of other non-ferrous metals waste	0	0	1	0	0	0	0
Casting of metals	0	0	1	0	0	0	0
"Manufacture of fabricated metal products, except machinery and equipment (28)"	0	0	1	0	0	0	0
Manufacture of machinery and equipment n.e.c. (29)	0	0	1	0	0	0	0
Manufacture of office machinery and computers (30)	0	0	1	0	0	0	0
Manufacture of electrical machinery and apparatus n.e.c. (31)	0	0	1	0	0	0	0
"Manufacture of radio, television and communication equipment and apparatus (32)"	0	0	1	0	0	0	0
"Manufacture of medical, precision and optical instruments, watches and clocks (33)"	0	0	1	0	0	0	0
"Manufacture of motor vehicles, trailers and semi-trailers (34)"	0	0	1	0	0	0	0
Manufacture of other transport equipment (35)	0	0	1	0	0	0	0
Manufacture of furniture; manufacturing n.e.c. (36)	0	0	1	0	0	0	0
Recycling of waste and scrap	0	0	1	0	0	0	0
Glass bottles directly reused	0	0	1	0	0	0	0
Production of electricity by coal	0	0	0	1	0	0	0
Production of electricity by gas	0	0	0	1	0	0	0
Production of electricity by nuclear	0	0	0	1	0	0	0
Production of electricity by hydro	0	0	0	1	0	0	0
Production of electricity by wind	0	0	0	1	0	0	0
Production of electricity by petroleum and other oil derivatives	0	0	0	1	0	0	0
Production of electricity by biomass and waste	0	0	0	1	0	0	0
Production of electricity by solar photovoltaic	0	0	0	1	0	0	0
Production of electricity by solar thermal	0	0	0	1	0	0	0
"Production of electricity by tide, wave, ocean"	0	0	0	1	0	0	0
Production of electricity by Geothermal	0	0	0	1	0	0	0
Production of electricity nec	0	0	0	1	0	0	0
Transmission of electricity	0	0	0	1	0	0	0
Distribution and trade of electricity	0	0	0	1	0	0	0
Manufacture of gas; distribution of gaseous fuels through mains	0	0	0	1	0	0	0
Steam and hot water supply	0	0	0	1	0	0	0
"Collection, purification and distribution of water (41)"	0	0	0	1	0	0	0
Construction (45)	0	0	0	0	1	0	0
Recycling of construction waste	0	0	0	0	1	0	0
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"	0	0	0	0	0	0	1
Retail sale of automotive fuel	0	0	0	0	0	0	1
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"	0	0	0	0	0	0	1
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"	0	0	0	0	0	0	1
Hotels and restaurants (55)	0	0	0	0	0	0	1
Transport via railways	0	0	0	0	0	1	0
Other land transport	0	0	0	0	0	1	0
Transport via pipelines	0	0	0	0	0	1	0
Sea and coastal water transport	0	0	0	0	0	1	0
Inland water transport	0	0	0	0	0	1	0
Air transport (62)	0	0	0	0	0	1	0
Supporting and auxiliary transport activities; activities of travel agencies (63)	0	0	0	0	0	0	1
Post and telecommunications (64)	0	0	0	0	0	0	1
"Financial intermediation, except insurance and pension funding (65)"	0	0	0	0	0	0	1
"Insurance and pension funding, except compulsory social security (66)"	0	0	0	0	0	0	1
Activities auxiliary to financial intermediation (67)	0	0	0	0	0	0	1
Real estate activities (70)	0	0	0	0	0	0	1
Renting of machinery and equipment without operator and of personal and household goods (71)	0	0	0	0	0	0	1
Computer and related activities (72)	0	0	0	0	0	0	1
Research and development (73)	0	0	0	0	0	0	1
Other business activities (74)	0	0	0	0	0	0	1
Public administration and defence; compulsory social security (75)	0	0	0	0	0	0	1
Education (80)	0	0	0	0	0	0	1
