	Agric	Mining	Manufacturing	Electricity and utilities	Construction	Transport	Services
p01.a	1	0	0	0	0	0	0
p01.b	1	0	0	0	0	0	0
p01.c	1	0	0	0	0	0	0
p01.d	1	0	0	0	0	0	0
p01.e	1	0	0	0	0	0	0
p01.f	1	0	0	0	0	0	0
p01.g	1	0	0	0	0	0	0
p01.h	1	0	0	0	0	0	0
p01.i	1	0	0	0	0	0	0
p01.j	1	0	0	0	0	0	0
p01.k	1	0	0	0	0	0	0
p01.l	1	0	0	0	0	0	0
p01.m	1	0	0	0	0	0	0
p01.n	1	0	0	0	0	0	0
p01.o	1	0	0	0	0	0	0
p01.w.1	1	0	0	0	0	0	0
p01.w.2	1	0	0	0	0	0	0
p02	1	0	0	0	0	0	0
p05	1	0	0	0	0	0	0
p10.a	0	1	0	0	0	0	0
p10.b	0	1	0	0	0	0	0
p10.c	0	1	0	0	0	0	0
p10.d	0	1	0	0	0	0	0
p10.e	0	1	0	0	0	0	0
p10.f	0	1	0	0	0	0	0
p10.g	0	1	0	0	0	0	0
p10.h	0	1	0	0	0	0	0
p11.a	0	1	0	0	0	0	0
p11.b	0	1	0	0	0	0	0
p11.b.1	0	1	0	0	0	0	0
p11.c	0	1	0	0	0	0	0
p12	0	1	0	0	0	0	0
p13.1	0	1	0	0	0	0	0
p13.20.11	0	1	0	0	0	0	0
p13.20.12	0	1	0	0	0	0	0
p13.20.13	0	1	0	0	0	0	0
p13.20.14	0	1	0	0	0	0	0
p13.20.15	0	1	0	0	0	0	0
p13.20.16	0	1	0	0	0	0	0
p14.1	0	1	0	0	0	0	0
p14.2	0	1	0	0	0	0	0
p14.3	0	1	0	0	0	0	0
p15.a	0	0	1	0	0	0	0
p15.b	0	0	1	0	0	0	0
p15.c	0	0	1	0	0	0	0
p15.d	0	0	1	0	0	0	0
p15.e	0	0	1	0	0	0	0
p15.f	0	0	1	0	0	0	0
p15.g	0	0	1	0	0	0	0
p15.h	0	0	1	0	0	0	0
p15.i	0	0	1	0	0	0	0
p15.j	0	0	1	0	0	0	0
p15.k	0	0	1	0	0	0	0
p16	0	0	1	0	0	0	0
p17	0	0	1	0	0	0	0
p18	0	0	1	0	0	0	0
p19	0	0	1	0	0	0	0
p20	0	0	1	0	0	0	0
p20.w	0	0	1	0	0	0	0
p21.1	0	0	1	0	0	0	0
p21.w.1	0	0	1	0	0	0	0
p21.2	0	0	1	0	0	0	0
p22	0	0	1	0	0	0	0
p23.1.a	0	0	1	0	0	0	0
p23.1.b	0	0	1	0	0	0	0
p23.1.c	0	0	1	0	0	0	0
p23.20.a	0	0	1	0	0	0	0
p23.20.b	0	0	1	0	0	0	0
p23.20.c	0	0	1	0	0	0	0
p23.20.d	0	0	1	0	0	0	0
p23.20.e	0	0	1	0	0	0	0
p23.20.f	0	0	1	0	0	0	0
p23.20.g	0	0	1	0	0	0	0
p23.20.h	0	0	1	0	0	0	0
p23.20.i	0	0	1	0	0	0	0
p23.20.j	0	0	1	0	0	0	0
p23.20.k	0	0	1	0	0	0	0
p23.20.l	0	0	1	0	0	0	0
p23.20.m	0	0	1	0	0	0	0
p23.20.n	0	0	1	0	0	0	0
p23.20.o	0	0	1	0	0	0	0
p23.20.p	0	0	1	0	0	0	0
p23.20.q	0	0	1	0	0	0	0
p23.20.r	0	0	1	0	0	0	0
p23.3	0	0	1	0	0	0	0
p24.a	0	0	1	0	0	0	0
p24.a.w	0	0	1	0	0	0	0
p24.b	0	0	1	0	0	0	0
p24.c	0	0	1	0	0	0	0
p24.d	0	0	1	0	0	0	0
p24.e	0	0	1	0	0	0	0
p24.f	0	0	1	0	0	0	0
p24.g	0	0	1	0	0	0	0
p24.h	0	0	1	0	0	0	0
p24.i	0	0	1	0	0	0	0
p25	0	0	1	0	0	0	0
p26.a	0	0	1	0	0	0	0
p26.a.w	0	0	1	0	0	0	0
p26.b	0	0	1	0	0	0	0
p26.c	0	0	1	0	0	0	0
p26.d	0	0	1	0	0	0	0
p26.d.w	0	0	1	0	0	0	0
p26.e	0	0	1	0	0	0	0
p27.a	0	0	1	0	0	0	0
p27.a.w	0	0	1	0	0	0	0
p27.41	0	0	1	0	0	0	0
p27.41.w	0	0	1	0	0	0	0
p27.42	0	0	1	0	0	0	0
p27.42.w	0	0	1	0	0	0	0
